"Geschlecht","Kauf"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"w","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"m","ja"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"w","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
"m","nein"
