"Sex","Purchase"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"f","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"m","yes"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"f","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
"m","no"
