"Speed (in km/h)","Fast lane","Right lane"
85,85,62
72,72,52
82,82,60
78,78,55
78,78,59
98,98,75
87,87,59
85,85,41
78,78,58
80,80,61
80,80,48
83,83,60
80,80,63
78,78,56
88,88,48
96,96,49
88,88,53
82,82,53
87,87,53
74,74,50
77,77,59
86,86,65
74,74,47
73,73,58
97,97,48
74,74,56
72,72,52
79,79,52
81,81,55
77,77,69
81,81,58
82,82,45
88,88,44
82,82,62
70,70,59
94,94,56
74,74,69
90,90,50
73,73,55
93,93,54
81,81,
85,85,
83,83,
76,76,
83,83,
80,80,
82,82,
84,84,
77,77,
68,68,
90,90,
77,77,
71,71,
76,76,
70,70,
80,80,
71,71,
85,85,
90,90,
77,77,
62,,
52,,
60,,
55,,
59,,
75,,
59,,
41,,
58,,
61,,
48,,
60,,
63,,
56,,
48,,
49,,
53,,
53,,
53,,
50,,
59,,
65,,
47,,
58,,
48,,
56,,
52,,
52,,
55,,
69,,
58,,
45,,
44,,
62,,
59,,
56,,
69,,
50,,
55,,
54,,
