"Year","Year (simplified)","Population size (in m.)"
1960.0,1.0,52.123
1962.0,2.0,52.748
1964.0,3.0,53.965
1966.0,4.0,53.798
1968.0,5.0,54.354
1970.0,6.0,54.913
1972.0,7.0,55.824
1974.0,8.0,56.350
1976.0,9.0,56.285
1978.0,10.0,56.039
1980.0,11.0,56.485
1982.0,12.0,57.058
1984.0,13.0,57.200
1986.0,14.0,57.309
1988.0,15.0,57.095
1990.0,16.0,57.010
1992.0,17.0,57.603
1994.0,18.0,58.522
1996.0,19.0,59.095
1998.0,20.0,59.541
2000.0,21.0,59.974
2002.0,22.0,60.496
2004.0,23.0,60.723
2006.0,24.0,60.621
2008.0,25.0,61.222
2010.0,26.0,61.694
2012.0,27.0,62.216
